Importance,Feature
0.14209364853158,cp
0.11734909608815305,thalach
0.11484385505094039,ca
0.1126341184996618,oldpeak
0.09593006771128118,thal
0.09128535432752492,age
0.07777130121212933,chol
0.07370722649816709,exang
0.06776455391247477,trestbps
0.048710710233078706,slope
0.026682003485053497,sex
0.020437619179616295,restecg
0.010790445270339092,fbs
