Importance,Feature
0.14369096198281622,BMI
0.12568555623573,Weight_(kg)
0.09392761922669947,Green_Vegetables_Consumption
0.09182413916399221,Height_(cm)
0.09096718526477275,Fruit_Consumption
0.08899233426389357,Age_Category
0.08749982956341092,FriedPotato_Consumption
0.06306926250317564,General_Health
0.058547052508371195,Alcohol_Consumption
0.01830954865880835,Arthritis
0.017476163308651312,Depression
0.01725297514840066,Exercise
0.01561620598872802,Checkup
0.01529428763542124,Smoking_History
0.015011904988289441,Other_Cancer
0.014374301559041779,Skin_Cancer
0.014281394361934187,Sex
0.0134313208572954,Diabetes_Yes
0.010850392781109558,Diabetes_No
0.003139109361856781,"Diabetes_No, pre-diabetes or borderline diabetes"
0.0007584546376012124,"Diabetes_Yes, but female told only during pregnancy"
